date,city,state,aqi,pm25,pm10,no2,so2,co,category,year,month
2024-02-27,Mumbai,Maharashtra,65.3,31.4,54.4,12.8,4.9,2.2,Satisfactory,2024,2024-02
2024-02-28,Mumbai,Maharashtra,91.2,56.5,50.3,7.6,6.5,2.55,Satisfactory,2024,2024-02
2024-02-29,Mumbai,Maharashtra,99.8,52.9,64.4,14.0,7.6,5.25,Satisfactory,2024,2024-02
2024-03-01,Mumbai,Maharashtra,72.6,33.2,68.4,12.0,2.4,1.55,Satisfactory,2024,2024-03
2024-03-02,Mumbai,Maharashtra,84.2,35.7,63.5,7.7,6.4,2.84,Satisfactory,2024,2024-03
2024-03-03,Mumbai,Maharashtra,69.8,41.8,64.8,5.6,3.7,1.47,Satisfactory,2024,2024-03
2024-03-04,Mumbai,Maharashtra,78.8,31.3,46.8,9.9,6.1,3.76,Satisfactory,2024,2024-03
2024-03-05,Mumbai,Maharashtra,88.2,51.9,61.4,7.5,6.9,1.82,Satisfactory,2024,2024-03
2024-03-06,Mumbai,Maharashtra,76.7,29.3,63.3,15.2,6.0,2.03,Satisfactory,2024,2024-03
2024-03-07,Mumbai,Maharashtra,83.9,35.5,65.1,13.1,5.6,2.29,Satisfactory,2024,2024-03
2024-03-08,Mumbai,Maharashtra,79.6,46.4,61.0,10.3,6.3,3.45,Satisfactory,2024,2024-03
2024-03-09,Mumbai,Maharashtra,82.6,48.6,76.9,13.3,4.7,1.66,Satisfactory,2024,2024-03
2024-03-10,Mumbai,Maharashtra,71.8,32.5,49.8,9.4,2.5,1.56,Satisfactory,2024,2024-03
2024-03-11,Mumbai,Maharashtra,70.0,37.9,53.5,9.3,4.3,3.72,Satisfactory,2024,2024-03
2024-03-12,Mumbai,Maharashtra,99.4,60.5,88.0,13.0,6.2,2.69,Satisfactory,2024,2024-03
2024-03-13,Mumbai,Maharashtra,67.5,34.7,63.6,9.6,5.2,2.45,Satisfactory,2024,2024-03
2024-03-14,Mumbai,Maharashtra,79.4,35.4,44.7,14.2,3.5,4.12,Satisfactory,2024,2024-03
2024-03-15,Mumbai,Maharashtra,72.5,32.6,45.5,14.3,3.5,3.19,Satisfactory,2024,2024-03
2024-03-16,Mumbai,Maharashtra,90.8,54.4,74.4,11.7,6.6,2.47,Satisfactory,2024,2024-03
2024-03-17,Mumbai,Maharashtra,101.0,51.6,94.0,15.7,7.2,4.66,Moderate,2024,2024-03
2024-03-18,Mumbai,Maharashtra,69.7,34.6,57.9,7.5,2.1,2.35,Satisfactory,2024,2024-03
2024-03-19,Mumbai,Maharashtra,72.4,44.3,59.9,9.3,2.9,2.48,Satisfactory,2024,2024-03
2024-03-20,Mumbai,Maharashtra,73.3,31.5,49.1,7.6,5.0,3.55,Satisfactory,2024,2024-03
2024-03-21,Mumbai,Maharashtra,56.2,29.9,39.6,10.6,4.4,1.51,Satisfactory,2024,2024-03
2024-03-22,Mumbai,Maharashtra,79.8,32.1,57.8,12.0,4.5,2.65,Satisfactory,2024,2024-03
2024-03-23,Mumbai,Maharashtra,61.4,31.3,57.3,6.4,3.9,1.33,Satisfactory,2024,2024-03
2024-03-24,Mumbai,Maharashtra,79.2,32.1,44.3,8.0,4.6,3.81,Satisfactory,2024,2024-03
2024-03-25,Mumbai,Maharashtra,70.2,30.1,57.4,7.2,4.3,2.56,Satisfactory,2024,2024-03
2024-03-26,Mumbai,Maharashtra,69.7,28.4,58.6,13.5,4.2,3.39,Satisfactory,2024,2024-03
2024-03-27,Mumbai,Maharashtra,75.8,42.7,49.6,6.5,2.3,2.58,Satisfactory,2024,2024-03
2024-03-28,Mumbai,Maharashtra,76.3,45.8,46.3,11.0,4.6,3.19,Satisfactory,2024,2024-03
2024-03-29,Mumbai,Maharashtra,76.6,30.9,51.9,6.6,3.8,2.11,Satisfactory,2024,2024-03
2024-03-30,Mumbai,Maharashtra,98.2,49.9,71.1,12.4,7.1,2.83,Satisfactory,2024,2024-03
2024-03-31,Mumbai,Maharashtra,84.6,47.1,72.2,11.0,3.8,3.29,Satisfactory,2024,2024-03
2024-04-01,Mumbai,Maharashtra,74.0,37.1,65.8,8.0,5.7,4.3,Satisfactory,2024,2024-04
2024-04-02,Mumbai,Maharashtra,73.8,45.0,65.3,9.1,2.5,3.16,Satisfactory,2024,2024-04
2024-04-03,Mumbai,Maharashtra,87.4,54.1,65.8,10.6,3.4,1.77,Satisfactory,2024,2024-04
2024-04-04,Mumbai,Maharashtra,76.8,38.6,59.3,13.7,4.2,4.35,Satisfactory,2024,2024-04
2024-04-05,Mumbai,Maharashtra,86.3,35.9,77.0,13.9,3.3,2.38,Satisfactory,2024,2024-04
2024-04-06,Mumbai,Maharashtra,79.0,47.6,44.5,10.7,3.6,3.68,Satisfactory,2024,2024-04
2024-04-07,Mumbai,Maharashtra,70.0,33.8,66.0,12.2,5.2,2.63,Satisfactory,2024,2024-04
2024-04-08,Mumbai,Maharashtra,86.0,37.5,61.5,14.3,3.1,2.65,Satisfactory,2024,2024-04
2024-04-09,Mumbai,Maharashtra,73.7,42.6,41.3,11.9,5.6,2.17,Satisfactory,2024,2024-04
2024-04-10,Mumbai,Maharashtra,68.2,37.3,64.1,13.3,2.8,1.64,Satisfactory,2024,2024-04
2024-04-11,Mumbai,Maharashtra,79.7,44.2,65.3,9.6,3.1,3.44,Satisfactory,2024,2024-04
2024-04-12,Mumbai,Maharashtra,65.9,32.7,55.4,8.8,3.1,2.09,Satisfactory,2024,2024-04
2024-04-13,Mumbai,Maharashtra,67.1,27.0,46.2,5.7,2.6,3.34,Satisfactory,2024,2024-04
2024-04-14,Mumbai,Maharashtra,65.3,29.9,53.4,10.8,3.9,3.81,Satisfactory,2024,2024-04
2024-04-15,Mumbai,Maharashtra,69.1,29.1,54.7,11.4,3.2,2.87,Satisfactory,2024,2024-04
2024-04-16,Mumbai,Maharashtra,64.1,35.0,46.1,11.7,4.4,1.45,Satisfactory,2024,2024-04
2024-04-17,Mumbai,Maharashtra,59.9,30.8,55.8,11.1,3.0,1.89,Satisfactory,2024,2024-04
2024-04-18,Mumbai,Maharashtra,81.4,35.5,62.1,7.6,4.7,1.63,Satisfactory,2024,2024-04
2024-04-19,Mumbai,Maharashtra,62.6,38.4,52.6,7.6,2.2,2.55,Satisfactory,2024,2024-04
2024-04-20,Mumbai,Maharashtra,67.1,28.9,51.3,12.1,4.1,3.04,Satisfactory,2024,2024-04
2024-04-21,Mumbai,Maharashtra,83.2,50.2,62.8,9.7,4.4,2.28,Satisfactory,2024,2024-04
2024-04-22,Mumbai,Maharashtra,75.4,40.2,56.6,7.0,3.0,2.96,Satisfactory,2024,2024-04
2024-04-23,Mumbai,Maharashtra,76.4,41.5,52.4,11.4,4.0,3.54,Satisfactory,2024,2024-04
2024-04-24,Mumbai,Maharashtra,85.3,33.4,63.7,9.8,3.9,4.98,Satisfactory,2024,2024-04
2024-04-25,Mumbai,Maharashtra,68.4,34.4,61.2,8.9,4.6,3.71,Satisfactory,2024,2024-04
2024-04-26,Mumbai,Maharashtra,64.1,29.1,45.4,7.9,4.6,1.4,Satisfactory,2024,2024-04
2024-04-27,Mumbai,Maharashtra,86.7,44.7,62.8,12.6,3.5,3.23,Satisfactory,2024,2024-04
2024-04-28,Mumbai,Maharashtra,61.6,30.8,56.1,6.9,4.5,2.82,Satisfactory,2024,2024-04
2024-04-29,Mumbai,Maharashtra,70.3,31.1,49.4,8.6,3.4,2.3,Satisfactory,2024,2024-04
2024-04-30,Mumbai,Maharashtra,82.4,43.6,50.8,15.0,5.8,3.22,Satisfactory,2024,2024-04
2024-05-01,Mumbai,Maharashtra,71.5,27.5,57.0,9.7,4.2,4.0,Satisfactory,2024,2024-05
2024-05-02,Mumbai,Maharashtra,83.1,50.9,66.8,14.3,2.8,2.2,Satisfactory,2024,2024-05
2024-05-03,Mumbai,Maharashtra,71.0,34.6,47.8,10.9,2.8,3.2,Satisfactory,2024,2024-05
2024-05-04,Mumbai,Maharashtra,94.3,39.8,54.3,11.3,3.9,5.24,Satisfactory,2024,2024-05
2024-05-05,Mumbai,Maharashtra,64.3,25.1,35.6,12.8,4.0,2.23,Satisfactory,2024,2024-05
2024-05-06,Mumbai,Maharashtra,107.3,52.9,70.4,13.0,6.7,5.93,Moderate,2024,2024-05
2024-05-07,Mumbai,Maharashtra,80.7,33.0,51.3,6.8,3.0,4.58,Satisfactory,2024,2024-05
2024-05-08,Mumbai,Maharashtra,72.2,35.4,42.0,14.1,5.3,3.63,Satisfactory,2024,2024-05
2024-05-09,Mumbai,Maharashtra,81.8,48.2,71.1,9.9,5.6,2.5,Satisfactory,2024,2024-05
2024-05-10,Mumbai,Maharashtra,86.1,39.5,51.1,16.5,3.8,3.51,Satisfactory,2024,2024-05
2024-05-11,Mumbai,Maharashtra,81.4,37.5,70.1,14.9,4.2,2.86,Satisfactory,2024,2024-05
2024-05-12,Mumbai,Maharashtra,75.1,42.0,68.7,12.8,3.1,4.17,Satisfactory,2024,2024-05
2024-05-13,Mumbai,Maharashtra,90.5,52.4,56.6,15.8,5.4,5.04,Satisfactory,2024,2024-05
2024-05-14,Mumbai,Maharashtra,55.4,23.4,39.8,10.0,1.7,1.36,Satisfactory,2024,2024-05
2024-05-15,Mumbai,Maharashtra,90.7,48.8,70.9,13.0,6.5,2.67,Satisfactory,2024,2024-05
2024-05-16,Mumbai,Maharashtra,68.4,33.3,41.9,10.4,2.9,2.28,Satisfactory,2024,2024-05
2024-05-17,Mumbai,Maharashtra,71.2,28.6,58.7,9.4,5.2,3.4,Satisfactory,2024,2024-05
2024-05-18,Mumbai,Maharashtra,76.0,29.0,60.5,6.9,5.2,4.53,Satisfactory,2024,2024-05
2024-05-19,Mumbai,Maharashtra,98.0,42.8,71.0,17.9,3.8,3.0,Satisfactory,2024,2024-05
2024-05-20,Mumbai,Maharashtra,80.0,38.9,66.8,10.0,6.1,1.9,Satisfactory,2024,2024-05
2024-05-21,Mumbai,Maharashtra,92.1,40.0,74.9,9.2,3.0,2.29,Satisfactory,2024,2024-05
2024-05-22,Mumbai,Maharashtra,66.5,40.1,51.2,11.7,3.1,2.91,Satisfactory,2024,2024-05
2024-05-23,Mumbai,Maharashtra,83.8,46.9,70.5,7.2,4.8,3.24,Satisfactory,2024,2024-05
2024-05-24,Mumbai,Maharashtra,76.2,45.9,49.7,8.6,3.9,2.27,Satisfactory,2024,2024-05
2024-05-25,Mumbai,Maharashtra,88.4,51.3,58.6,12.9,3.0,5.01,Satisfactory,2024,2024-05
2024-05-26,Mumbai,Maharashtra,78.2,37.3,55.3,9.1,4.1,2.35,Satisfactory,2024,2024-05
2024-05-27,Mumbai,Maharashtra,89.6,52.0,60.2,12.2,6.6,1.98,Satisfactory,2024,2024-05
2024-05-28,Mumbai,Maharashtra,70.7,41.9,45.1,11.4,4.2,2.98,Satisfactory,2024,2024-05
2024-05-29,Mumbai,Maharashtra,82.0,47.1,52.2,14.5,4.1,2.26,Satisfactory,2024,2024-05
2024-05-30,Mumbai,Maharashtra,53.2,29.9,31.2,7.5,1.8,1.82,Satisfactory,2024,2024-05
2024-05-31,Mumbai,Maharashtra,89.2,42.6,64.4,9.6,4.7,5.19,Satisfactory,2024,2024-05
2024-06-01,Mumbai,Maharashtra,104.9,61.3,63.8,8.8,8.0,4.31,Moderate,2024,2024-06
2024-06-02,Mumbai,Maharashtra,98.1,44.7,72.8,19.2,6.2,2.56,Satisfactory,2024,2024-06
2024-06-03,Mumbai,Maharashtra,83.8,34.5,52.9,14.4,3.8,1.75,Satisfactory,2024,2024-06
2024-06-04,Mumbai,Maharashtra,76.8,46.1,69.2,10.3,3.9,3.24,Satisfactory,2024,2024-06
2024-06-05,Mumbai,Maharashtra,65.2,28.6,37.2,12.6,2.6,1.82,Satisfactory,2024,2024-06
2024-06-06,Mumbai,Maharashtra,70.7,27.2,43.1,8.9,4.5,2.06,Satisfactory,2024,2024-06
2024-06-07,Mumbai,Maharashtra,45.9,22.1,35.4,8.6,2.1,1.16,Good,2024,2024-06
2024-06-08,Mumbai,Maharashtra,100.1,40.7,72.0,8.2,3.2,3.93,Moderate,2024,2024-06
2024-06-09,Mumbai,Maharashtra,80.7,36.5,71.7,12.3,4.3,2.93,Satisfactory,2024,2024-06
2024-06-10,Mumbai,Maharashtra,75.1,44.6,71.3,7.6,2.7,1.93,Satisfactory,2024,2024-06
2024-06-11,Mumbai,Maharashtra,81.5,43.9,66.4,14.8,5.5,3.1,Satisfactory,2024,2024-06
2024-06-12,Mumbai,Maharashtra,98.7,49.7,73.1,15.5,5.7,4.52,Satisfactory,2024,2024-06
2024-06-13,Mumbai,Maharashtra,91.8,48.4,76.9,14.4,5.1,4.34,Satisfactory,2024,2024-06
2024-06-14,Mumbai,Maharashtra,64.2,24.4,49.7,9.7,5.0,2.21,Satisfactory,2024,2024-06
2024-06-15,Mumbai,Maharashtra,78.1,37.1,49.3,6.9,5.4,2.34,Satisfactory,2024,2024-06
2024-06-16,Mumbai,Maharashtra,99.0,48.8,89.1,13.2,4.4,5.53,Satisfactory,2024,2024-06
2024-06-17,Mumbai,Maharashtra,91.6,53.8,56.4,7.6,3.2,2.88,Satisfactory,2024,2024-06
2024-06-18,Mumbai,Maharashtra,82.1,38.6,74.4,11.0,3.8,4.73,Satisfactory,2024,2024-06
2024-06-19,Mumbai,Maharashtra,86.4,50.4,76.7,12.2,6.0,2.35,Satisfactory,2024,2024-06
2024-06-20,Mumbai,Maharashtra,84.7,38.1,73.5,11.8,2.7,4.28,Satisfactory,2024,2024-06
2024-06-21,Mumbai,Maharashtra,82.0,34.5,65.8,7.4,6.3,2.6,Satisfactory,2024,2024-06
2024-06-22,Mumbai,Maharashtra,76.4,46.4,63.8,12.9,4.2,2.98,Satisfactory,2024,2024-06
2024-06-23,Mumbai,Maharashtra,77.7,31.6,60.2,8.5,6.1,4.03,Satisfactory,2024,2024-06
2024-06-24,Mumbai,Maharashtra,69.2,39.3,41.4,7.1,2.8,2.92,Satisfactory,2024,2024-06
2024-06-25,Mumbai,Maharashtra,78.4,44.6,53.0,7.1,4.2,3.91,Satisfactory,2024,2024-06
2024-06-26,Mumbai,Maharashtra,73.9,44.9,68.8,14.7,5.2,2.03,Satisfactory,2024,2024-06
2024-06-27,Mumbai,Maharashtra,73.9,31.8,50.7,8.7,5.8,3.81,Satisfactory,2024,2024-06
2024-06-28,Mumbai,Maharashtra,72.3,43.3,63.7,7.2,5.3,2.23,Satisfactory,2024,2024-06
2024-06-29,Mumbai,Maharashtra,88.0,35.1,71.5,13.9,3.1,2.88,Satisfactory,2024,2024-06
2024-06-30,Mumbai,Maharashtra,71.9,28.7,47.5,7.9,3.0,1.99,Satisfactory,2024,2024-06
2024-07-01,Mumbai,Maharashtra,92.7,48.0,63.1,16.5,3.6,3.58,Satisfactory,2024,2024-07
2024-07-02,Mumbai,Maharashtra,84.9,33.4,79.9,14.8,4.6,1.99,Satisfactory,2024,2024-07
2024-07-03,Mumbai,Maharashtra,81.4,42.5,69.5,8.4,4.8,4.28,Satisfactory,2024,2024-07
2024-07-04,Mumbai,Maharashtra,92.6,54.7,85.7,11.9,5.4,4.78,Satisfactory,2024,2024-07
2024-07-05,Mumbai,Maharashtra,91.7,50.2,87.0,7.5,4.4,2.87,Satisfactory,2024,2024-07
2024-07-06,Mumbai,Maharashtra,75.6,41.6,44.1,12.8,4.9,2.27,Satisfactory,2024,2024-07
2024-07-07,Mumbai,Maharashtra,76.9,33.9,61.7,13.2,5.7,4.16,Satisfactory,2024,2024-07
2024-07-08,Mumbai,Maharashtra,85.9,51.4,75.0,16.1,2.6,5.04,Satisfactory,2024,2024-07
2024-07-09,Mumbai,Maharashtra,90.2,44.5,78.4,8.6,4.5,2.78,Satisfactory,2024,2024-07
2024-07-10,Mumbai,Maharashtra,77.5,44.4,42.9,9.1,3.0,3.38,Satisfactory,2024,2024-07
2024-07-11,Mumbai,Maharashtra,80.8,35.7,52.8,11.2,5.1,2.01,Satisfactory,2024,2024-07
2024-07-12,Mumbai,Maharashtra,79.0,48.5,56.0,12.0,3.3,3.13,Satisfactory,2024,2024-07
2024-07-13,Mumbai,Maharashtra,77.3,30.7,43.6,10.5,3.9,1.97,Satisfactory,2024,2024-07
2024-07-14,Mumbai,Maharashtra,102.9,62.9,90.8,14.0,6.9,2.59,Moderate,2024,2024-07
2024-07-15,Mumbai,Maharashtra,69.9,35.2,46.3,6.9,3.6,1.76,Satisfactory,2024,2024-07
2024-07-16,Mumbai,Maharashtra,80.5,40.8,49.0,7.8,4.8,4.78,Satisfactory,2024,2024-07
2024-07-17,Mumbai,Maharashtra,105.4,42.5,70.0,19.4,3.5,5.8,Moderate,2024,2024-07
2024-07-18,Mumbai,Maharashtra,57.4,26.1,38.4,6.7,4.3,2.81,Satisfactory,2024,2024-07
2024-07-19,Mumbai,Maharashtra,92.2,49.9,80.2,10.2,5.6,3.54,Satisfactory,2024,2024-07
2024-07-20,Mumbai,Maharashtra,77.3,41.3,69.8,9.9,2.6,3.14,Satisfactory,2024,2024-07
2024-07-21,Mumbai,Maharashtra,96.3,44.6,78.8,18.7,5.2,3.72,Satisfactory,2024,2024-07
2024-07-22,Mumbai,Maharashtra,76.7,33.8,70.4,12.3,2.4,2.16,Satisfactory,2024,2024-07
2024-07-23,Mumbai,Maharashtra,88.1,47.9,75.4,15.9,3.9,5.05,Satisfactory,2024,2024-07
2024-07-24,Mumbai,Maharashtra,105.1,55.0,63.0,20.6,3.8,3.17,Moderate,2024,2024-07
2024-07-25,Mumbai,Maharashtra,90.4,52.0,72.1,16.3,5.0,3.17,Satisfactory,2024,2024-07
2024-07-26,Mumbai,Maharashtra,80.4,46.9,48.7,12.0,6.0,3.13,Satisfactory,2024,2024-07
2024-07-27,Mumbai,Maharashtra,90.8,50.8,79.2,15.3,6.9,3.44,Satisfactory,2024,2024-07
2024-07-28,Mumbai,Maharashtra,78.3,40.3,48.9,6.6,2.5,4.17,Satisfactory,2024,2024-07
2024-07-29,Mumbai,Maharashtra,80.2,41.9,55.6,15.0,2.7,4.75,Satisfactory,2024,2024-07
2024-07-30,Mumbai,Maharashtra,71.9,39.0,61.5,9.5,5.3,1.87,Satisfactory,2024,2024-07
2024-07-31,Mumbai,Maharashtra,89.7,40.1,52.7,9.4,3.8,5.09,Satisfactory,2024,2024-07
2024-08-01,Mumbai,Maharashtra,78.1,39.7,71.0,15.6,5.3,4.6,Satisfactory,2024,2024-08
2024-08-02,Mumbai,Maharashtra,71.0,40.4,66.4,11.7,2.4,2.56,Satisfactory,2024,2024-08
2024-08-03,Mumbai,Maharashtra,64.9,28.9,50.7,12.5,2.1,3.29,Satisfactory,2024,2024-08
2024-08-04,Mumbai,Maharashtra,94.0,52.0,88.0,18.0,6.4,3.84,Satisfactory,2024,2024-08
2024-08-05,Mumbai,Maharashtra,82.0,46.2,74.4,14.3,3.3,3.61,Satisfactory,2024,2024-08
2024-08-06,Mumbai,Maharashtra,63.9,29.4,35.4,6.7,2.3,3.43,Satisfactory,2024,2024-08
2024-08-07,Mumbai,Maharashtra,69.9,42.6,49.0,5.7,3.1,1.73,Satisfactory,2024,2024-08
2024-08-08,Mumbai,Maharashtra,68.7,27.8,39.9,10.4,2.7,2.37,Satisfactory,2024,2024-08
2024-08-09,Mumbai,Maharashtra,77.1,46.2,57.7,9.9,5.2,1.77,Satisfactory,2024,2024-08
2024-08-10,Mumbai,Maharashtra,91.4,36.7,74.1,12.7,6.4,5.18,Satisfactory,2024,2024-08
2024-08-11,Mumbai,Maharashtra,95.5,47.8,90.0,17.2,7.2,2.88,Satisfactory,2024,2024-08
2024-08-12,Mumbai,Maharashtra,61.1,34.5,40.1,6.4,4.7,1.27,Satisfactory,2024,2024-08
2024-08-13,Mumbai,Maharashtra,73.2,34.0,46.6,11.0,3.5,3.39,Satisfactory,2024,2024-08
2024-08-14,Mumbai,Maharashtra,88.5,34.0,51.0,8.1,4.5,4.66,Satisfactory,2024,2024-08
2024-08-15,Mumbai,Maharashtra,76.3,39.5,65.4,8.7,3.8,3.12,Satisfactory,2024,2024-08
2024-08-16,Mumbai,Maharashtra,84.5,34.9,47.4,8.3,5.2,1.94,Satisfactory,2024,2024-08
2024-08-17,Mumbai,Maharashtra,73.4,29.3,46.0,13.9,2.3,3.39,Satisfactory,2024,2024-08
2024-08-18,Mumbai,Maharashtra,67.8,32.0,55.6,10.2,2.8,3.66,Satisfactory,2024,2024-08
2024-08-19,Mumbai,Maharashtra,94.1,44.9,88.9,16.2,7.4,3.82,Satisfactory,2024,2024-08
2024-08-20,Mumbai,Maharashtra,79.2,39.1,67.5,14.7,6.2,2.61,Satisfactory,2024,2024-08
2024-08-21,Mumbai,Maharashtra,72.9,37.3,45.4,8.9,5.6,1.88,Satisfactory,2024,2024-08
2024-08-22,Mumbai,Maharashtra,86.3,45.9,68.0,8.2,4.0,3.67,Satisfactory,2024,2024-08
2024-08-23,Mumbai,Maharashtra,85.3,52.3,54.2,8.7,4.5,4.26,Satisfactory,2024,2024-08
2024-08-24,Mumbai,Maharashtra,73.5,32.9,41.0,10.7,5.7,2.62,Satisfactory,2024,2024-08
2024-08-25,Mumbai,Maharashtra,84.4,46.1,70.7,12.4,6.6,4.01,Satisfactory,2024,2024-08
2024-08-26,Mumbai,Maharashtra,78.7,46.8,65.3,13.2,3.5,2.53,Satisfactory,2024,2024-08
2024-08-27,Mumbai,Maharashtra,71.8,37.0,46.6,12.8,2.5,3.82,Satisfactory,2024,2024-08
2024-08-28,Mumbai,Maharashtra,90.3,47.4,56.4,13.1,4.0,2.97,Satisfactory,2024,2024-08
2024-08-29,Mumbai,Maharashtra,73.6,45.4,41.4,11.7,3.6,3.37,Satisfactory,2024,2024-08
2024-08-30,Mumbai,Maharashtra,77.5,36.1,63.5,13.0,5.0,1.9,Satisfactory,2024,2024-08
2024-08-31,Mumbai,Maharashtra,65.4,25.3,46.8,8.6,3.5,3.15,Satisfactory,2024,2024-08
2024-09-01,Mumbai,Maharashtra,94.0,42.7,63.5,8.2,6.0,4.01,Satisfactory,2024,2024-09
2024-09-02,Mumbai,Maharashtra,98.5,50.1,72.7,13.9,6.1,4.57,Satisfactory,2024,2024-09
2024-09-03,Mumbai,Maharashtra,73.2,32.9,44.4,7.2,4.5,4.02,Satisfactory,2024,2024-09
2024-09-04,Mumbai,Maharashtra,70.8,39.8,62.5,13.1,4.3,3.85,Satisfactory,2024,2024-09
2024-09-05,Mumbai,Maharashtra,80.3,30.8,47.6,7.3,5.3,1.83,Satisfactory,2024,2024-09
2024-09-06,Mumbai,Maharashtra,46.6,21.2,41.9,4.7,2.2,2.38,Good,2024,2024-09
2024-09-07,Mumbai,Maharashtra,78.9,30.6,64.6,14.0,6.0,4.34,Satisfactory,2024,2024-09
2024-09-08,Mumbai,Maharashtra,93.0,37.1,60.7,8.5,4.3,5.11,Satisfactory,2024,2024-09
2024-09-09,Mumbai,Maharashtra,64.8,30.0,50.2,8.6,3.4,3.81,Satisfactory,2024,2024-09
2024-09-10,Mumbai,Maharashtra,93.9,45.1,53.9,13.0,6.6,2.25,Satisfactory,2024,2024-09
2024-09-11,Mumbai,Maharashtra,67.8,26.9,41.5,11.6,4.5,2.89,Satisfactory,2024,2024-09
2024-09-12,Mumbai,Maharashtra,94.8,53.5,83.0,16.8,5.9,3.63,Satisfactory,2024,2024-09
2024-09-13,Mumbai,Maharashtra,83.0,48.7,76.4,6.9,2.7,4.84,Satisfactory,2024,2024-09
2024-09-14,Mumbai,Maharashtra,90.9,43.0,54.3,8.2,3.4,2.73,Satisfactory,2024,2024-09
2024-09-15,Mumbai,Maharashtra,79.6,39.6,66.1,15.8,4.1,3.24,Satisfactory,2024,2024-09
2024-09-16,Mumbai,Maharashtra,113.8,57.4,63.0,9.1,4.0,2.74,Moderate,2024,2024-09
2024-09-17,Mumbai,Maharashtra,100.4,55.1,63.5,18.8,7.7,5.93,Moderate,2024,2024-09
2024-09-18,Mumbai,Maharashtra,82.8,41.6,51.3,14.6,6.2,4.48,Satisfactory,2024,2024-09
2024-09-19,Mumbai,Maharashtra,85.8,41.5,73.3,7.9,2.7,4.3,Satisfactory,2024,2024-09
2024-09-20,Mumbai,Maharashtra,98.2,56.5,89.9,11.4,7.6,2.56,Satisfactory,2024,2024-09
2024-09-21,Mumbai,Maharashtra,82.9,33.2,59.9,14.9,4.5,4.41,Satisfactory,2024,2024-09
2024-09-22,Mumbai,Maharashtra,74.3,45.2,42.7,14.0,3.4,2.97,Satisfactory,2024,2024-09
2024-09-23,Mumbai,Maharashtra,91.3,44.0,56.5,11.2,3.6,2.57,Satisfactory,2024,2024-09
2024-09-24,Mumbai,Maharashtra,83.3,47.6,64.8,15.6,5.1,3.96,Satisfactory,2024,2024-09
2024-09-25,Mumbai,Maharashtra,68.7,37.1,50.1,11.2,2.3,3.74,Satisfactory,2024,2024-09
2024-09-26,Mumbai,Maharashtra,75.9,42.8,42.1,8.0,2.5,3.89,Satisfactory,2024,2024-09
2024-09-27,Mumbai,Maharashtra,92.5,51.9,80.9,7.4,5.1,4.46,Satisfactory,2024,2024-09
2024-09-28,Mumbai,Maharashtra,88.5,35.4,55.1,12.1,5.5,2.29,Satisfactory,2024,2024-09
2024-09-29,Mumbai,Maharashtra,73.0,31.0,46.1,7.9,3.0,2.61,Satisfactory,2024,2024-09
2024-09-30,Mumbai,Maharashtra,75.1,42.5,62.9,7.2,2.4,4.14,Satisfactory,2024,2024-09
2024-10-01,Mumbai,Maharashtra,118.5,47.3,72.2,9.8,7.3,5.13,Moderate,2024,2024-10
2024-10-02,Mumbai,Maharashtra,77.5,35.0,47.3,7.5,2.8,1.9,Satisfactory,2024,2024-10
2024-10-03,Mumbai,Maharashtra,83.4,36.5,56.1,16.3,4.9,4.96,Satisfactory,2024,2024-10
2024-10-04,Mumbai,Maharashtra,89.0,40.8,55.5,8.7,6.9,5.29,Satisfactory,2024,2024-10
2024-10-05,Mumbai,Maharashtra,73.0,28.5,44.5,9.5,2.9,2.52,Satisfactory,2024,2024-10
2024-10-06,Mumbai,Maharashtra,95.6,42.6,66.0,8.7,4.9,5.67,Satisfactory,2024,2024-10
2024-10-07,Mumbai,Maharashtra,85.1,39.1,76.7,15.4,6.6,4.39,Satisfactory,2024,2024-10
2024-10-08,Mumbai,Maharashtra,107.0,42.6,78.7,21.3,7.3,6.26,Moderate,2024,2024-10
2024-10-09,Mumbai,Maharashtra,101.5,57.5,91.3,16.7,6.9,4.15,Moderate,2024,2024-10
2024-10-10,Mumbai,Maharashtra,102.1,46.2,57.6,19.6,6.1,3.26,Moderate,2024,2024-10
2024-10-11,Mumbai,Maharashtra,107.1,44.5,94.4,19.3,7.6,4.9,Moderate,2024,2024-10
2024-10-12,Mumbai,Maharashtra,81.2,31.0,71.8,7.4,5.0,3.26,Satisfactory,2024,2024-10
2024-10-13,Mumbai,Maharashtra,86.2,43.7,79.4,7.2,5.9,1.9,Satisfactory,2024,2024-10
2024-10-14,Mumbai,Maharashtra,96.1,38.0,83.2,13.8,3.0,2.08,Satisfactory,2024,2024-10
2024-10-15,Mumbai,Maharashtra,91.3,48.1,79.6,12.1,5.3,4.75,Satisfactory,2024,2024-10
2024-10-16,Mumbai,Maharashtra,82.2,43.3,65.8,13.8,5.0,4.83,Satisfactory,2024,2024-10
2024-10-17,Mumbai,Maharashtra,102.9,44.0,95.7,14.9,6.5,2.47,Moderate,2024,2024-10
2024-10-18,Mumbai,Maharashtra,111.6,61.4,63.2,16.3,3.8,6.68,Moderate,2024,2024-10
2024-10-19,Mumbai,Maharashtra,90.4,53.8,50.5,16.6,6.9,3.09,Satisfactory,2024,2024-10
2024-10-20,Mumbai,Maharashtra,91.9,49.4,63.1,10.9,4.7,2.37,Satisfactory,2024,2024-10
